k,silhouette,davies_bouldin,calinski_harabasz,inertia,bic
2,0.22666732966899872,1.702062399824673,60.75946807861328,3923.406982421875,11358.904876856765
3,0.22959481179714203,1.8110503761403327,48.1849365234375,3460.63232421875,2912.502773725818
4,0.19584457576274872,1.9320050033524974,40.32456588745117,3196.134765625,251.56952403507023
5,0.1576252579689026,1.9023552511310726,36.30387496948242,2970.210693359375,197.52072017462956
6,0.16496405005455017,1.7992378911193816,34.59573745727539,2746.50390625,-61.51385958276683
7,0.17818936705589294,1.6605812946209053,31.522470474243164,2627.73974609375,70.94258598843203
8,0.16661247611045837,1.6458057461865994,29.793601989746094,2497.822998046875,-206.80033561485152
9,0.17659159004688263,1.634456128908048,27.751768112182617,2412.485595703125,-177.16843134612282
10,0.17908471822738647,1.5589353952452294,26.730758666992188,2305.06640625,-40.017840418081505
